Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_AI_Users,Productivity_Gain,Satisfaction_Score,AI_Investment,Cost_Savings,Adoption_Level
1094,Healthcare,Medium,718,GitHub Copilot,2023,90,25.8,8.9,118335.6,140339.37,Medium
1095,Manufacturing,Medium,331,Midjourney,2025,67,16.5,7.8,46018.76,59255.81,Medium
1096,Education,Medium,983,GitHub Copilot,2025,163,34.4,9.1,89869.59,134448.83,Medium
1097,Manufacturing,Medium,985,GitHub Copilot,2022,177,23.5,8.6,104201.94,124786.96,Medium
1098,Retail,Large,1441,Power BI AI,2024,439,30.6,8.2,232729.34,337146.51,High
1099,IT,Medium,627,Claude,2022,89,16.6,7.4,96067.97,122535.8,Medium
1100,Education,Medium,934,Midjourney,2023,309,20.6,7.7,164255.78,201880.15,High
1101,IT,Large,1028,GitHub Copilot,2023,212,28.0,7.5,140466.4,201321.4,High
1102,Education,Large,3116,GitHub Copilot,2023,816,14.1,9.3,513020.69,907361.95,High
1103,IT,Medium,699,ChatGPT,2022,222,22.4,8.8,86314.43,109833.51,High
1104,Retail,Large,1171,Power BI AI,2022,153,17.9,9.2,206341.77,341084.9,Medium
1105,Education,Medium,261,GitHub Copilot,2025,83,30.2,8.7,38948.42,65995.64,Medium
1106,IT,Medium,904,Gemini,2022,272,11.1,8.4,162661.56,242213.57,High
1107,Finance,Small,128,Gemini,2023,48,34.3,9.6,16309.94,27782.84,Low
1108,Retail,Small,152,ChatGPT,2024,25,13.0,6.8,22743.59,30428.93,Low
1109,Retail,Small,64,Midjourney,2024,19,28.4,8.2,7851.63,13455.07,Low
1110,Finance,Medium,795,ChatGPT,2025,205,33.5,9.1,142935.76,192319.82,High
1111,Retail,Medium,494,GitHub Copilot,2024,89,20.0,6.8,56136.7,82283.12,Medium
1112,Retail,Small,222,GitHub Copilot,2023,41,15.8,6.6,18156.8,32526.19,Low
1113,Finance,Medium,593,ChatGPT,2025,201,16.5,8.4,105692.2,181678.47,High
1114,Education,Large,3273,ChatGPT,2025,554,33.6,8.6,460752.25,672183.14,High
1115,IT,Small,218,ChatGPT,2024,44,11.4,9.7,36706.53,64215.38,Low
1116,Manufacturing,Small,212,Claude,2024,30,30.4,7.2,21704.93,32033.92,Low
1117,Finance,Medium,859,GitHub Copilot,2023,156,21.9,6.6,141923.42,159634.85,Medium
1118,Healthcare,Large,2418,ChatGPT,2023,512,16.5,8.9,313342.75,362453.7,High
1119,IT,Medium,842,ChatGPT,2025,214,32.7,8.4,123109.83,182281.98,High
1120,Manufacturing,Medium,465,Claude,2024,165,31.7,8.8,76121.12,120897.85,Medium
1121,Education,Medium,671,ChatGPT,2025,260,21.6,9.4,54025.24,90436.24,High
1122,IT,Large,3129,Midjourney,2025,789,10.2,7.4,443356.43,792202.71,High
1123,Education,Small,237,ChatGPT,2025,32,17.1,6.6,29204.11,49299.02,Low
1124,Healthcare,Small,86,ChatGPT,2025,26,11.7,7.5,12970.28,14878.8,Low
1125,Finance,Small,169,ChatGPT,2025,66,34.2,9.0,15718.46,25633.42,Medium
1126,IT,Small,183,GitHub Copilot,2025,32,10.0,7.0,23214.27,40880.62,Low
1127,IT,Large,4342,Claude,2024,721,12.1,8.7,631548.77,815507.35,High
1128,Manufacturing,Small,141,Claude,2025,50,34.1,9.0,17516.41,23093.05,Medium
1129,Healthcare,Medium,411,ChatGPT,2022,121,19.2,9.4,52328.93,93026.99,Medium
1130,IT,Large,4380,ChatGPT,2024,1134,10.4,9.1,479245.57,833065.49,High
1131,Manufacturing,Small,64,GitHub Copilot,2022,8,27.1,7.9,6403.36,9247.2,Low
1132,IT,Medium,366,Gemini,2023,144,13.7,8.0,54184.71,74605.93,Medium
1133,Manufacturing,Medium,260,Gemini,2025,86,11.0,8.1,23528.18,29867.41,Medium
1134,Manufacturing,Small,129,GitHub Copilot,2023,26,29.4,9.6,11254.17,16588.3,Low
1135,Manufacturing,Small,126,ChatGPT,2023,17,24.2,8.8,20167.39,25009.68,Low
1136,IT,Small,110,Claude,2022,41,11.3,8.3,16599.67,28380.1,Low
1137,Retail,Large,2341,Gemini,2024,698,23.8,8.5,370775.2,532667.77,High
1138,IT,Small,63,ChatGPT,2022,10,14.0,9.4,6421.05,11449.41,Low
1139,Healthcare,Small,168,GitHub Copilot,2022,24,10.5,8.7,19022.89,28148.84,Low
1140,Finance,Small,84,ChatGPT,2023,13,31.0,7.1,14790.56,20575.67,Low
1141,Retail,Medium,981,GitHub Copilot,2025,109,31.7,8.4,121508.17,195346.3,Medium
1142,Finance,Large,2441,Claude,2024,970,17.1,7.7,288977.09,412101.26,High
1143,Retail,Small,75,Claude,2025,11,15.9,9.7,7357.33,12493.26,Low
1144,Finance,Small,109,GitHub Copilot,2024,29,26.6,6.8,15828.14,20869.46,Low
1145,Healthcare,Large,1260,ChatGPT,2024,175,34.2,8.0,130542.36,150312.7,Medium
1146,IT,Medium,610,GitHub Copilot,2023,173,27.7,7.1,59024.77,66442.41,Medium
1147,Retail,Medium,414,Claude,2024,96,31.6,8.3,55472.1,62346.84,Medium
1148,Manufacturing,Small,86,Power BI AI,2022,11,21.3,9.6,9598.94,13967.08,Low
1149,IT,Small,230,GitHub Copilot,2024,24,18.1,9.7,31742.58,40565.66,Low
1150,Finance,Small,87,ChatGPT,2022,16,27.6,7.2,12818.86,22803.96,Low
1151,IT,Medium,601,ChatGPT,2025,106,26.5,9.7,70575.24,78498.1,Medium
1152,IT,Large,1302,Gemini,2022,493,27.2,8.7,132240.9,206457.12,High
1153,Healthcare,Medium,851,ChatGPT,2023,239,18.0,9.4,152612.97,248255.43,High
1154,IT,Small,117,Gemini,2024,44,21.0,9.5,19631.33,25953.34,Low
1155,Manufacturing,Medium,704,ChatGPT,2023,147,19.9,8.8,83674.49,118322.89,Medium
1156,IT,Medium,351,ChatGPT,2024,105,25.5,8.0,41410.48,70577.27,Medium
1157,Finance,Medium,878,Midjourney,2022,127,23.2,7.3,112093.86,154247.4,Medium
1158,Finance,Medium,613,Power BI AI,2022,97,10.2,8.6,104089.27,132238.92,Medium
1159,Manufacturing,Small,70,GitHub Copilot,2023,10,25.4,8.2,10290.67,18016.12,Low
1160,Finance,Medium,355,Gemini,2024,64,20.3,6.9,34830.8,54920.6,Medium
1161,IT,Medium,832,ChatGPT,2024,129,32.9,7.9,73801.64,123324.32,Medium
1162,Healthcare,Medium,808,Power BI AI,2024,279,32.1,7.3,81773.22,124923.86,High
1163,Finance,Large,3631,Claude,2024,641,17.6,8.9,599541.37,941278.31,High
1164,Retail,Large,4040,GitHub Copilot,2023,689,31.7,8.1,539484.67,660821.34,High
1165,Healthcare,Small,248,GitHub Copilot,2023,53,24.9,8.1,44337.08,53005.33,Medium
1166,Education,Medium,623,GitHub Copilot,2024,65,18.5,9.2,87420.57,116799.04,Medium
1167,Manufacturing,Large,1035,ChatGPT,2025,163,18.1,7.2,119542.12,137305.68,Medium
1168,Finance,Small,54,ChatGPT,2024,9,24.8,8.7,5566.48,7903.29,Low
1169,IT,Small,221,Gemini,2024,70,21.6,6.7,30106.76,53299.13,Medium
1170,IT,Medium,560,GitHub Copilot,2022,131,28.9,7.6,82035.06,135916.92,Medium
1171,Manufacturing,Small,141,Power BI AI,2022,45,29.2,7.3,20748.97,24173.6,Low
1172,Healthcare,Large,1799,ChatGPT,2025,601,27.7,6.6,198452.79,254848.87,High
1173,Healthcare,Small,242,ChatGPT,2023,56,25.0,8.2,41609.29,60245.03,Medium
1174,Manufacturing,Large,1489,GitHub Copilot,2023,389,25.7,8.7,198406.45,318441.45,High
1175,IT,Small,63,ChatGPT,2023,9,27.4,7.6,11186.34,17324.07,Low
1176,Retail,Small,103,ChatGPT,2024,14,32.5,9.2,11510.57,20338.7,Low
1177,Retail,Medium,731,ChatGPT,2022,102,34.1,8.3,129081.6,181069.02,Medium
1178,Healthcare,Medium,907,ChatGPT,2025,90,10.4,8.5,105647.2,144791.87,Medium
1179,Finance,Small,138,ChatGPT,2025,16,27.4,9.7,14340.69,17202.73,Low
1180,IT,Small,164,ChatGPT,2024,46,25.8,7.3,16935.39,21246.49,Low
1181,IT,Medium,671,GitHub Copilot,2022,245,21.2,7.1,78356.65,108907.19,High
1182,Retail,Medium,847,Power BI AI,2023,118,20.5,9.1,117067.96,184578.99,Medium
1183,IT,Medium,262,ChatGPT,2023,102,30.0,9.7,33741.78,39707.84,Medium
1184,Finance,Medium,557,ChatGPT,2022,76,31.6,7.3,80860.28,134832.91,Medium
1185,Education,Large,3601,Claude,2025,1392,29.7,7.5,535877.31,753616.15,High
1186,Healthcare,Large,4897,ChatGPT,2024,1701,22.4,7.8,612185.93,770665.74,High
1187,Manufacturing,Medium,422,ChatGPT,2024,107,27.0,6.6,37338.22,59794.41,Medium
1188,IT,Small,201,ChatGPT,2024,43,21.5,9.8,35592.07,62628.55,Low
1189,Retail,Medium,691,ChatGPT,2024,227,16.6,6.6,60958.06,108353.08,High
1190,Healthcare,Large,1920,Power BI AI,2024,198,16.4,7.4,166896.83,295720.92,Medium
1191,Finance,Large,2801,Claude,2023,1103,25.0,8.4,433615.3,723373.89,High
1192,Education,Small,64,ChatGPT,2024,8,19.4,8.3,7607.38,9239.76,Low
1193,Healthcare,Large,4243,ChatGPT,2025,1246,17.1,9.2,704919.29,1193118.22,High
1194,Manufacturing,Small,190,ChatGPT,2025,61,23.9,7.1,16223.31,21480.34,Medium
1195,Retail,Small,141,ChatGPT,2023,19,28.1,9.2,14290.51,20779.79,Low
1196,Retail,Medium,932,Claude,2024,264,12.6,7.0,83298.15,125282.16,High
1197,Manufacturing,Medium,385,GitHub Copilot,2022,66,28.2,9.8,34618.36,47809.55,Medium
1198,Retail,Small,59,Claude,2025,16,27.2,7.7,7898.3,11586.11,Low
1199,Retail,Large,4083,Claude,2023,1581,19.2,7.6,387430.99,509054.47,High
1200,Manufacturing,Large,3179,GitHub Copilot,2024,1062,15.4,7.0,465101.05,512223.19,High
1201,IT,Small,223,GitHub Copilot,2024,28,24.7,8.1,32163.86,36840.41,Low
1202,Finance,Medium,785,Gemini,2025,142,30.6,8.1,68849.07,78555.8,Medium
1203,Healthcare,Large,1997,ChatGPT,2025,511,19.3,6.9,306640.47,387930.96,High
1204,Healthcare,Small,96,Power BI AI,2025,28,20.5,8.6,15222.26,18005.43,Low
1205,Finance,Large,1074,Claude,2025,172,24.1,9.7,103672.59,164857.7,Medium
1206,Finance,Medium,959,GitHub Copilot,2023,366,16.5,7.9,160414.83,270997.35,High
1207,IT,Large,4145,Power BI AI,2024,1199,11.2,9.5,708542.23,1166366.19,High
1208,IT,Small,223,Gemini,2022,72,26.4,9.7,19377.76,22089.45,Medium
1209,Healthcare,Small,212,ChatGPT,2024,83,19.3,7.9,34869.54,44901.41,Medium
1210,IT,Large,2642,ChatGPT,2025,374,23.3,7.9,303128.11,524376.27,High
1211,IT,Medium,397,ChatGPT,2025,86,30.7,9.1,56549.69,81778.59,Medium
1212,Manufacturing,Small,136,ChatGPT,2024,32,34.3,8.5,15633.29,18445.2,Low
1213,IT,Small,120,Gemini,2024,47,15.7,7.8,16110.55,26649.91,Low
1214,Finance,Medium,743,GitHub Copilot,2024,111,33.6,9.3,109148.36,155384.36,Medium
1215,Finance,Medium,335,ChatGPT,2024,44,18.9,9.7,53398.66,77325.49,Low
1216,Healthcare,Large,2177,ChatGPT,2024,556,15.1,9.4,365644.97,625035.3,High
1217,IT,Medium,307,Claude,2024,81,12.4,7.6,33230.63,45642.6,Medium
1218,Retail,Medium,850,GitHub Copilot,2022,197,14.9,7.1,75993.07,102565.54,Medium
1219,Retail,Small,121,Claude,2023,45,23.3,7.0,18100.38,29961.25,Low
1220,Healthcare,Large,1258,Midjourney,2023,317,25.0,6.6,146392.6,236108.52,High
1221,Retail,Small,247,Power BI AI,2025,33,28.5,7.6,44173.87,63599.39,Low
1222,IT,Medium,411,ChatGPT,2025,93,14.1,6.5,55885.96,82106.52,Medium
1223,Retail,Large,4453,GitHub Copilot,2025,895,17.4,9.5,405556.28,661749.3,High
1224,Manufacturing,Large,2387,GitHub Copilot,2023,592,30.7,7.6,232436.89,371529.41,High
1225,Retail,Small,212,ChatGPT,2023,49,28.7,8.6,30123.69,40566.44,Low
1226,Retail,Medium,538,ChatGPT,2024,106,27.2,6.7,52448.62,89111.05,Medium
1227,IT,Large,1854,ChatGPT,2023,667,15.4,7.7,161020.9,263141.76,High
1228,Finance,Large,3019,Midjourney,2024,1015,26.6,7.4,515402.18,808930.23,High
1229,Finance,Small,169,GitHub Copilot,2023,36,13.2,7.9,27079.79,38868.95,Low
1230,IT,Medium,519,Power BI AI,2023,185,17.3,9.5,80650.62,134157.04,Medium
1231,IT,Large,4134,Gemini,2024,1074,25.9,8.0,421024.41,498565.76,High
1232,IT,Small,58,ChatGPT,2024,11,25.0,7.5,6379.53,10336.34,Low
1233,IT,Large,2799,Midjourney,2023,565,34.7,8.6,372635.49,628526.71,High
1234,Healthcare,Medium,825,Claude,2024,245,16.3,7.2,106290.91,171797.58,High
1235,Finance,Small,84,Midjourney,2025,22,22.9,7.9,9382.35,13174.86,Low
1236,Retail,Medium,275,ChatGPT,2023,105,21.1,9.1,39589.15,62293.47,Medium
1237,IT,Small,125,GitHub Copilot,2024,48,25.0,9.0,16328.33,25208.86,Low
1238,IT,Small,194,ChatGPT,2024,72,16.0,8.0,24259.03,34716.61,Medium
1239,Education,Medium,681,ChatGPT,2023,173,10.1,6.5,69398.59,78122.34,Medium
1240,IT,Small,134,GitHub Copilot,2023,29,11.1,7.4,21663.54,28145.13,Low
1241,Retail,Medium,820,GitHub Copilot,2025,203,27.6,9.8,76382.11,98709.52,High
1242,Healthcare,Medium,581,Midjourney,2024,103,26.9,7.5,88220.74,155958.67,Medium
1243,Retail,Large,1173,ChatGPT,2023,138,25.1,8.8,107269.4,146818.26,Medium
1244,Finance,Medium,908,Gemini,2024,336,20.1,7.6,140726.45,195451.13,High
1245,Education,Medium,515,GitHub Copilot,2022,69,13.9,7.1,74050.67,119864.85,Medium
1246,Finance,Large,4421,ChatGPT,2022,1001,17.4,8.1,608860.07,688387.76,High
1247,IT,Medium,472,GitHub Copilot,2025,56,19.7,9.3,56823.98,65593.64,Medium
1248,Finance,Large,2053,GitHub Copilot,2024,711,31.4,9.5,252721.27,334402.5,High
1249,Finance,Medium,367,Claude,2024,77,14.2,7.9,34593.21,59606.45,Medium
1250,Healthcare,Small,206,GitHub Copilot,2023,21,19.6,9.1,28757.37,33671.49,Low
1251,Retail,Medium,937,ChatGPT,2025,221,27.2,7.0,120459.75,134827.67,High
1252,Finance,Large,4843,ChatGPT,2023,1829,20.4,7.8,539125.79,648537.75,High
1253,Finance,Small,171,ChatGPT,2025,33,32.2,8.5,27816.7,49758.77,Low
1254,Healthcare,Large,2523,ChatGPT,2025,837,34.5,8.1,336128.58,409349.44,High
1255,IT,Large,3946,ChatGPT,2023,624,11.4,7.6,422319.74,750247.71,High
1256,Finance,Small,141,Gemini,2025,20,30.4,7.2,22311.68,36015.62,Low
1257,Healthcare,Small,201,Gemini,2023,43,11.0,8.1,26994.79,33997.91,Low
1258,Manufacturing,Large,1266,GitHub Copilot,2024,141,28.6,8.3,108590.02,171195.33,Medium
1259,Finance,Small,119,ChatGPT,2024,46,22.1,9.3,16525.91,22520.37,Low
1260,Healthcare,Small,200,GitHub Copilot,2024,49,24.4,9.4,35614.79,49337.49,Low
1261,Retail,Large,3819,Midjourney,2024,1523,11.5,6.5,550011.74,719912.81,High
1262,IT,Small,116,GitHub Copilot,2024,33,33.2,6.6,14811.38,23422.8,Low
1263,Retail,Medium,569,ChatGPT,2023,194,17.0,7.2,99998.79,110619.09,Medium
1264,Manufacturing,Medium,362,ChatGPT,2022,40,18.5,8.6,31458.87,34729.53,Low
1265,Manufacturing,Large,1200,Claude,2025,340,12.2,8.1,105317.92,145894.82,High
1266,Finance,Small,148,GitHub Copilot,2024,40,27.4,6.5,13333.93,22777.83,Low
1267,Education,Small,211,Claude,2024,24,11.8,7.8,23110.63,29181.08,Low
1268,Healthcare,Large,1973,ChatGPT,2023,210,24.6,9.3,266153.84,333621.65,High
1269,IT,Small,68,Gemini,2022,24,22.6,8.0,9423.88,14487.79,Low
1270,IT,Medium,263,GitHub Copilot,2023,50,17.2,8.4,24194.78,42141.36,Medium
1271,Retail,Medium,539,ChatGPT,2024,62,28.7,7.5,43127.26,62870.51,Medium
1272,IT,Small,87,Midjourney,2024,20,18.5,9.6,7679.62,13451.78,Low
1273,Retail,Small,186,Midjourney,2023,62,32.3,7.9,31804.94,43385.84,Medium
1274,Manufacturing,Small,235,ChatGPT,2024,89,31.1,8.7,22069.22,28203.62,Medium
1275,Manufacturing,Small,73,Claude,2025,22,17.5,6.8,11547.31,17908.77,Low
1276,IT,Medium,553,GitHub Copilot,2025,134,12.8,8.6,86864.17,95725.78,Medium
1277,Manufacturing,Small,190,GitHub Copilot,2024,40,31.7,8.9,27506.55,45588.49,Low
1278,Retail,Small,186,ChatGPT,2024,59,17.9,8.6,22229.43,35550.3,Medium
1279,IT,Large,4323,ChatGPT,2024,1500,29.6,8.3,389012.43,615274.16,High
1280,IT,Large,4841,ChatGPT,2022,1084,22.3,7.8,644306.93,977150.85,High
1281,IT,Medium,989,ChatGPT,2023,325,21.4,7.4,100858.75,120229.96,High
1282,Manufacturing,Medium,931,Claude,2025,126,16.6,6.6,101787.03,167052.8,Medium
1283,Finance,Small,175,Gemini,2024,52,23.7,9.4,25822.65,38291.74,Medium
1284,Retail,Medium,753,GitHub Copilot,2023,143,11.6,7.3,78809.25,113395.0,Medium
1285,Retail,Medium,467,Gemini,2025,80,23.3,8.6,67462.41,100715.0,Medium
1286,Retail,Small,139,ChatGPT,2022,39,29.5,8.4,13162.78,21952.71,Low
1287,Education,Medium,661,Gemini,2025,253,18.4,8.9,88495.54,101100.87,High
1288,Education,Medium,254,GitHub Copilot,2023,28,20.4,7.5,39651.64,53449.91,Low
1289,Manufacturing,Large,4461,ChatGPT,2025,1061,23.7,7.9,376463.76,457789.29,High
1290,Finance,Small,157,Midjourney,2025,53,31.3,7.3,27641.84,34216.4,Medium
1291,Manufacturing,Large,2855,Power BI AI,2024,473,21.5,9.5,278675.26,348279.96,High
1292,IT,Small,157,Claude,2025,60,34.0,8.2,27903.73,45486.35,Medium
1293,IT,Medium,601,ChatGPT,2023,142,29.5,9.7,93971.1,159623.53,Medium
1294,Education,Large,4619,GitHub Copilot,2025,778,25.9,7.2,518099.37,877468.36,High
1295,Retail,Small,150,ChatGPT,2023,55,10.0,9.5,14307.11,25653.51,Medium
1296,Manufacturing,Medium,850,Claude,2023,185,28.9,9.5,148828.93,223836.6,Medium
1297,Healthcare,Large,1115,GitHub Copilot,2024,250,31.2,9.5,187025.15,333290.14,High
1298,IT,Large,2064,ChatGPT,2022,314,31.7,7.4,361294.77,544520.21,High
1299,Finance,Medium,348,ChatGPT,2025,49,20.8,9.5,57275.56,79078.03,Low
1300,Retail,Large,1083,GitHub Copilot,2023,300,14.7,7.6,179239.77,223145.1,High
